reeval_rank,original_rank,sample_id,repeat_idx,coarse_J,reeval_J,valid,failure_reason,terrain_master_seed,mc_base_seed,n_events,n_seeds,layout_json,flat_J_t,flat_mean_err,flat_median_err,flat_p95_err,flat_valid_rate,flat_dgeom,flat_usable_event_rate,hill_J_t,hill_mean_err,hill_median_err,hill_p95_err,hill_valid_rate,hill_dgeom,hill_usable_event_rate,rough_J_t,rough_mean_err,rough_median_err,rough_p95_err,rough_valid_rate,rough_dgeom,rough_usable_event_rate
12,21,2055,1,0.0901787928419492,0.10814114220766123,True,,310001,910001,100,5,"[[0.5680479150903572, 0.4556192883792581], [0.22503127802769338, 0.8415226276832611], [0.5280303994116293, 0.5727693297176467], [0.26714363107348327, 0.3612902942294482], [0.43486123767945845, 0.7466801396242102], [0.8167106374208183, 0.5101058194917625], [0.7251684103489182, 0.7974319033378118], [0.9324455835504267, 0.7173059583506681]]",0.06250685649893092,0.006053069450475122,0.002274612376504036,0.010276584154057019,0.6219999999999999,0.0,0.6219999999999999,0.1261596986076518,0.0072610691815353165,0.002264775358568244,0.008588149225780516,0.618,0.6301577270822676,0.618,0.11773831511641042,0.004656940212952558,0.0023448990501012492,0.007711131409507926,0.614,0.5542935259772939,0.614
12,21,2055,2,0.0901787928419492,0.12011410750504949,True,,410004,1010004,100,5,"[[0.5680479150903572, 0.4556192883792581], [0.22503127802769338, 0.8415226276832611], [0.5280303994116293, 0.5727693297176467], [0.26714363107348327, 0.3612902942294482], [0.43486123767945845, 0.7466801396242102], [0.8167106374208183, 0.5101058194917625], [0.7251684103489182, 0.7974319033378118], [0.9324455835504267, 0.7173059583506681]]",0.06602312496257462,0.005532020223549853,0.0022393605348957485,0.010779052873257339,0.5980000000000001,0.0,0.5980000000000001,0.1454823665043618,0.0060103372773742895,0.0022965230623836277,0.011612242386426582,0.6039999999999999,0.7989404201361536,0.6039999999999999,0.12346857204889972,0.006747673714466923,0.0022600685540503256,0.015435420300792558,0.5900000000000001,0.5430149278715184,0.5900000000000001
13,19,3059,1,0.0898359891208809,0.11049181011796026,True,,310001,910001,100,5,"[[0.34982060417514244, 0.8277556815451598], [0.1742538914525335, 0.7440032903946995], [0.8526528334522373, 0.3087478618592836], [0.8733367190065485, 0.8192673512007617], [0.4828987702032096, 0.7117045583720908], [0.7519357215423313, 0.2839515098963883], [0.7446599292048407, 0.3854275822404513], [0.18497066844861001, 0.41850093882532535]]",0.07261963982576929,0.006378243435097727,0.0020424671957992024,0.011498100933251099,0.558,0.0,0.558,0.1187840686732814,0.006823541121279195,0.0020989546289230166,0.014402328920522529,0.5599999999999999,0.45392776492549,0.5599999999999999,0.12528176598639518,0.007963019849422825,0.0021077210950292587,0.016784256323458764,0.554,0.4976313015711728,0.554
13,19,3059,2,0.0898359891208809,0.11879597251347762,True,,410004,1010004,100,5,"[[0.34982060417514244, 0.8277556815451598], [0.1742538914525335, 0.7440032903946995], [0.8526528334522373, 0.3087478618592836], [0.8733367190065485, 0.8192673512007617], [0.4828987702032096, 0.7117045583720908], [0.7519357215423313, 0.2839515098963883], [0.7446599292048407, 0.3854275822404513], [0.18497066844861001, 0.41850093882532535]]",0.07948853076348908,0.005357599576397346,0.0020673209663810963,0.018925369847034267,0.524,0.0,0.524,0.13655016053364918,0.008405528516672627,0.002283829809776021,0.020085160686987104,0.526,0.5564212449505037,0.526,0.12259503822312298,0.005993115915510221,0.002186990634897439,0.016513326694708563,0.516,0.4234413805273081,0.516
14,40,621,1,0.0931615666913832,0.10846591513062263,True,,310001,910001,100,5,"[[0.8891276210692024, 0.603641798098141], [0.14308483312927558, 0.50517199479791], [0.46588367993765706, 0.8446743907989689], [0.5577909754375074, 0.6409724217598444], [0.7288247499529351, 0.7669430135012498], [0.9117597105810424, 0.2980099475873434], [0.8233813376374776, 0.3756997931702848], [0.41758454037738374, 0.9468519596357006]]",0.07799747918925365,0.008933614025016258,0.002117330465068336,0.025591176259987847,0.558,0.0,0.558,0.11579210621891645,0.005957944366842904,0.0020569187553947576,0.007182942650011938,0.546,0.4285614845883356,0.546,0.12003703755716022,0.0056580655175848486,0.002100518662647534,0.007447947755204987,0.5439999999999999,0.4685652374768554,0.5439999999999999
14,40,621,2,0.0931615666913832,0.12231450594600196,True,,410004,1010004,100,5,"[[0.8891276210692024, 0.603641798098141], [0.14308483312927558, 0.50517199479791], [0.46588367993765706, 0.8446743907989689], [0.5577909754375074, 0.6409724217598444], [0.7288247499529351, 0.7669430135012498], [0.9117597105810424, 0.2980099475873434], [0.8233813376374776, 0.3756997931702848], [0.41758454037738374, 0.9468519596357006]]",0.07744300396876588,0.004300577417177679,0.002192623143811465,0.009692480436786412,0.516,0.0,0.516,0.13779241846934073,0.003928947270326686,0.0022038552573970254,0.010630825021849344,0.51,0.5933514469113892,0.51,0.1362301828765605,0.0036331831786574793,0.0022070205997086734,0.008757466617251033,0.508,0.5816801046098934,0.508
15,34,1559,1,0.0921598147277812,0.10773198967555267,True,,310001,910001,100,5,"[[0.23273246588326005, 0.06150348895160909], [0.5252395717180278, 0.6095150227634328], [0.5746429991597304, 0.3914029773055562], [0.43805946122115147, 0.41384580393412945], [0.7467000731850915, 0.09950457208950705], [0.8909525562258666, 0.8030949009276285], [0.722457237790973, 0.8134194563569428], [0.6173311182604725, 0.8463429800154795]]",0.05727464019545697,0.007849714309908716,0.002489045317068997,0.01714089585332686,0.676,0.0,0.676,0.13266532314971827,0.005745472841234048,0.0024878674812650724,0.0119420588038902,0.63,0.7099724272999588,0.63,0.1083226722073172,0.00569591517253895,0.0023748897673593534,0.01324735921629262,0.6439999999999999,0.4838530261478688,0.6439999999999999
15,34,1559,2,0.0921598147277812,0.12360195815153922,True,,410004,1010004,100,5,"[[0.23273246588326005, 0.06150348895160909], [0.5252395717180278, 0.6095150227634328], [0.5746429991597304, 0.3914029773055562], [0.43805946122115147, 0.41384580393412945], [0.7467000731850915, 0.09950457208950705], [0.8909525562258666, 0.8030949009276285], [0.722457237790973, 0.8134194563569428], [0.6173311182604725, 0.8463429800154795]]",0.06449530748824332,0.008465482309616471,0.0028433458056116596,0.028286134829719728,0.652,0.0,0.652,0.1568943992849572,0.00629160899138073,0.002953443221459771,0.021142938713425513,0.62,0.9072029362480819,0.62,0.11612372654799918,0.005642038343707493,0.0028697942459642257,0.01618969347499403,0.6319999999999999,0.535279012508326,0.6319999999999999
16,41,1294,1,0.0932106354317947,0.1127871514694756,True,,310001,910001,100,5,"[[0.10145073608990178, 0.8499603972830947], [0.5089294371328259, 0.9088703597389947], [0.4473579977317768, 0.2887486778611511], [0.28712505310442654, 0.8075253684246079], [0.2890713984614742, 0.7222422659573366], [0.656065136340344, 0.4058556819700113], [0.602412074579821, 0.20157903947497366], [0.894328662138115, 0.06381914853113897]]",0.06785843700227828,0.009672732802023076,0.002510246687345061,0.01968569080455965,0.616,0.0,0.616,0.12889188105253352,0.007951386439475917,0.002515352281888309,0.011856773738918256,0.5900000000000001,0.6025672503309389,0.5900000000000001,0.12550640677055708,0.005497730784551686,0.0023559474125996087,0.010412089687059265,0.5860000000000001,0.5780880101139105,0.5860000000000001
16,41,1294,2,0.0932106354317947,0.11942314219358068,True,,410004,1010004,100,5,"[[0.10145073608990178, 0.8499603972830947], [0.5089294371328259, 0.9088703597389947], [0.4473579977317768, 0.2887486778611511], [0.28712505310442654, 0.8075253684246079], [0.2890713984614742, 0.7222422659573366], [0.656065136340344, 0.4058556819700113], [0.602412074579821, 0.20157903947497366], [0.894328662138115, 0.06381914853113897]]",0.0825438554594383,0.016317289292963142,0.0023206088549649036,0.0476702509253497,0.5940000000000001,0.0,0.5940000000000001,0.13690882565040274,0.00905169661898306,0.002396096773623634,0.023340413947660142,0.5660000000000001,0.6073343798756232,0.5660000000000001,0.12133106201407888,0.00818164035134628,0.0023077959170885705,0.012729951871597811,0.5660000000000001,0.4873033829449372,0.5660000000000001
17,9,2954,1,0.0860838304883541,0.11154035063378298,True,,310001,910001,100,5,"[[0.27145955785803116, 0.6298853821859499], [0.815049875290244, 0.05997578162825022], [0.6423068037635123, 0.20257020076427637], [0.8181579051264152, 0.8677022699035325], [0.6536371484189173, 0.514022902349478], [0.7363571450682326, 0.3044410912081285], [0.9290503150431432, 0.9355711628960827], [0.7067171732120383, 0.9794102240831806]]",0.07203534075924709,0.009556330290305792,0.002552099110535126,0.02578330709536486,0.5999999999999999,0.0,0.5999999999999999,0.12810408507687346,0.010191871049079133,0.002474662911792146,0.010490037647631975,0.588,0.5857073181049824,0.588,0.1179178916221379,0.008421297601165533,0.0025758404776667367,0.02019114100719951,0.572,0.4387096539945354,0.572
17,9,2954,2,0.0860838304883541,0.12112651275078991,True,,410004,1010004,100,5,"[[0.27145955785803116, 0.6298853821859499], [0.815049875290244, 0.05997578162825022], [0.6423068037635123, 0.20257020076427637], [0.8181579051264152, 0.8677022699035325], [0.6536371484189173, 0.514022902349478], [0.7363571450682326, 0.3044410912081285], [0.9290503150431432, 0.9355711628960827], [0.7067171732120383, 0.9794102240831806]]",0.07334117889771427,0.00896036650081343,0.0025453143839657593,0.014030046574494113,0.5660000000000001,0.0,0.5660000000000001,0.1449621224389882,0.011394450847632229,0.0026079380112153648,0.027501329335734803,0.554,0.6468422075683329,0.554,0.12124062722746895,0.00826647981146437,0.002571748169222821,0.010791560515151254,0.554,0.47383243157764615,0.554
18,29,3774,1,0.091610370917256,0.11516021328130867,True,,310001,910001,100,5,"[[0.3235083018678234, 0.36986085671388347], [0.29911199414044654, 0.0812335873350671], [0.2768192716294403, 0.6301877162446133], [0.746169063205677, 0.9671306824083581], [0.8149115887458503, 0.39668908488216115], [0.4877755582549517, 0.5696706916457929], [0.42187776588216347, 0.30485584205276967], [0.716106802904394, 0.7668295633749412]]",0.07660390942880528,0.012292723451449472,0.0024638641712806794,0.05990727958551012,0.6460000000000001,0.0,0.6460000000000001,0.13768388194765097,0.007296639959562273,0.0024012801815355258,0.019308137711242658,0.6399999999999999,0.7460795265247512,0.6399999999999999,0.10866917980112745,0.007026807608519521,0.002341249850730727,0.011165628097912569,0.646,0.49057427947919896,0.646
18,29,3774,2,0.091610370917256,0.11986326200509499,True,,410004,1010004,100,5,"[[0.3235083018678234, 0.36986085671388347], [0.29911199414044654, 0.0812335873350671], [0.2768192716294403, 0.6301877162446133], [0.746169063205677, 0.9671306824083581], [0.8149115887458503, 0.39668908488216115], [0.4877755582549517, 0.5696706916457929], [0.42187776588216347, 0.30485584205276967], [0.716106802904394, 0.7668295633749412]]",0.061385310560932285,0.00882584453714389,0.0025999675792279975,0.013378935064058475,0.644,0.0,0.644,0.14673265946480235,0.0056435247299782745,0.002628731551760391,0.010731784797123346,0.6439999999999999,0.8757353789717511,0.6439999999999999,0.12460241852984298,0.0077451534354416275,0.002683374610237239,0.010928985412578442,0.632,0.6263840386012072,0.632
